"Story","Title","Result","Date","Stability","Duration (s)"
"Mentee Home Page Menu Navigation","Verify Mentee Home Page Menu Navigation and option visibility","ERROR","2022-11-10T22:54:01.386+07:00[Asia/Bangkok]","0.0","20.59"
"Mentee Home Page Menu Navigation","Verify Mentee Home Page Menu Navigation and option functionality","ERROR","2022-11-10T22:54:23.067+07:00[Asia/Bangkok]","0.0","20.81"
