"Story","Title","Result","Date","Stability","Duration (s)"
"Add Class by Admin","Input valid data with maximum character allowed on Add Class Field","FAILURE","2022-11-12T20:40:29.863+07:00[Asia/Bangkok]","0.0","4.78"
"Add Class by Admin","Input valid data with minimum character allowed on Add Class Field","FAILURE","2022-11-12T20:44:24.519+07:00[Asia/Bangkok]","0.0","8.05"
"Delete Button Functionality","Verify deleting a class","FAILURE","2022-11-12T20:59:28.618+07:00[Asia/Bangkok]","0.0","6.37"
"Edit Class Functionality","Input Numeric on edit class field","FAILURE","2022-11-12T21:18:18.36+07:00[Asia/Bangkok]","0.0","6.75"
"Edit Class Functionality","Input Special Character on edit class field","FAILURE","2022-11-12T21:18:26.119+07:00[Asia/Bangkok]","0.0","6.17"
"Submit Button Functionality","Input ""<valid data>"" with minimum character allowed on edit class field and choose inactive class","FAILURE","2022-11-12T21:20:43.656+07:00[Asia/Bangkok]","0.0","6.29"
"Submit Button Functionality","Input ""<valid data>"" with maximum character allowed on edit class field and choose inactive class","FAILURE","2022-11-12T21:21:11.919+07:00[Asia/Bangkok]","0.0","32.3"
"Submit Button Functionality","Input ""<valid data>"" with maximum character allowed on edit class field and choose active class","FAILURE","2022-11-12T21:21:44.972+07:00[Asia/Bangkok]","0.0","22.23"
"Submit Button Functionality","Input ""<valid data>"" with valid character allowed on edit class field and choose active class","FAILURE","2022-11-12T21:23:21.634+07:00[Asia/Bangkok]","0.0","9.58"
