"Story","Title","Result","Date","Stability","Duration (s)"
"Login Page Visual Testing","Verify password is masked when eye icon is clicked","FAILURE","2022-11-13T15:09:13.169+07:00[Asia/Bangkok]","0.0","0.04"
"Login Page Visual Testing","Verify application crash handling method and should be redirected to error page","FAILURE","2022-11-13T15:09:13.236+07:00[Asia/Bangkok]","0.0","0.03"
"Login Page Visual Testing","Verify all text on page for spelling and grammatical errors","SUCCESS","2022-11-13T15:09:13.282+07:00[Asia/Bangkok]","0.0","0.01"
"Login Page Visual Testing","Verify all field on the page should be aligned properly","SUCCESS","2022-11-13T15:09:13.31+07:00[Asia/Bangkok]","0.0","0.03"
"Login Page Visual Testing","Verify enough space should be provided between title, email field, password field and login button","SUCCESS","2022-11-13T15:09:13.349+07:00[Asia/Bangkok]","0.0","0.01"
"Login Page Visual Testing","Verify font size, style, and color for headline, description text, labels, infield data, and grid info should be standard as specified in PRD","SUCCESS","2022-11-13T15:09:13.378+07:00[Asia/Bangkok]","0.0","0.01"
"Login Page Visual Testing","Verify upon clicking on the input text field, the mouse arrow pointer should get changed to the cursor","SUCCESS","2022-11-13T15:09:13.41+07:00[Asia/Bangkok]","0.0","0.02"
"Login Page Visual Testing","Check all pages for broken images","SUCCESS","2022-11-13T15:09:13.44+07:00[Asia/Bangkok]","0.0","0.06"
"Login Page Visual Testing","Check all pages for broken links","SUCCESS","2022-11-13T15:09:13.519+07:00[Asia/Bangkok]","0.0","0.04"
"Login Page Visual Testing","Verify Page text is justified correctly","SUCCESS","2022-11-13T15:09:13.595+07:00[Asia/Bangkok]","0.0","0.05"
"User Login Functionality","Verify user login but network disconnected when request sent","SUCCESS","2022-11-13T15:09:13.678+07:00[Asia/Bangkok]","0.0","0.03"
"User Login Functionality","Verify accessing webapp trough browser typing directly","SUCCESS","2022-11-13T15:09:13.735+07:00[Asia/Bangkok]","0.0","0.03"
"User Login Functionality","Verify accessing webapp after close and logout","SUCCESS","2022-11-13T15:50:38.242+07:00[Asia/Bangkok]","0.0","0.07"
"User Login Functionality","Verify eye icon functionality","FAILURE","2022-11-13T15:50:38.38+07:00[Asia/Bangkok]","0.0","0.04"
"User Login Functionality","Verify critical element visibility when windows resized","SUCCESS","2022-11-13T15:50:38.459+07:00[Asia/Bangkok]","0.0","0.04"
"User Login Functionality","Verify data inputted was cleaned while page refreshed","SUCCESS","2022-11-13T22:29:24.85+07:00[Asia/Bangkok]","0.0","0.06"
"Mentee Profile Page's Edit Button","Verify Edit Button location","SUCCESS","2022-11-13T15:10:56.255+07:00[Asia/Bangkok]","0.0","0.02"
"Mentee Profile Page's Profile Picture","Verify User Profile picture location","SUCCESS","2022-11-13T15:10:56.291+07:00[Asia/Bangkok]","0.0","0.01"
"Mentee Profile Page's Profile Picture","Verify User Profile picture not interactable","SUCCESS","2022-11-13T15:10:56.322+07:00[Asia/Bangkok]","0.0","0.02"
"Mentee Profile Page's Profile Picture","Verify mentee profile detail location","SUCCESS","2022-11-13T15:10:56.357+07:00[Asia/Bangkok]","0.0","0.01"
"Mentee Profile Page Page Title","Verify Page Title location on Tasks Submission Modal","SUCCESS","2022-11-13T15:10:56.4+07:00[Asia/Bangkok]","0.0","0.02"
"Mentee Profile Page Page Title","Verify Page Title has biggest font on Tasks Submission Modal","SUCCESS","2022-11-13T15:10:56.43+07:00[Asia/Bangkok]","0.0","0.02"
"Mentee Profile Page Page Title","Verify Page Title location on Mentee Profile Page","SUCCESS","2022-11-13T15:10:56.471+07:00[Asia/Bangkok]","0.0","0.02"
"Mentee Profile Page Page Title","Verify Page Title has biggest font on Mentee Profile Page","SUCCESS","2022-11-13T15:10:56.498+07:00[Asia/Bangkok]","0.0","0.04"
"Mentee Task Page Title","Verify Page Title location on Mentee Task Page","SUCCESS","2022-11-13T15:11:58.451+07:00[Asia/Bangkok]","0.0","0.02"
"Mentee Task Page Title","Verify Page Title has biggest font on Mentee Task Page","SUCCESS","2022-11-13T15:11:58.488+07:00[Asia/Bangkok]","0.0","0.01"
"Mentor Profile Page's Profile Picture","Verify User Profile picture location","SUCCESS","2022-11-14T02:04:50.185+07:00[Asia/Bangkok]","0.0","0.13"
"Mentor Profile Page's Profile Picture","Verify User Profile picture not interactable","SUCCESS","2022-11-14T02:04:50.395+07:00[Asia/Bangkok]","0.0","0.07"
"Mentor Profile Page's Profile Picture","Verify Mentor profile detail location","SUCCESS","2022-11-14T02:04:50.524+07:00[Asia/Bangkok]","0.0","0.05"
"Mentor Profile Page's Page Title","Verify Page Title location on Mentee Profile Page","SUCCESS","2022-11-14T02:04:50.611+07:00[Asia/Bangkok]","0.0","0.04"
"Mentor Profile Page's Page Title","Verify Page Title has biggest font on Mentee Profile Page","SUCCESS","2022-11-14T02:04:50.678+07:00[Asia/Bangkok]","0.0","0.07"
"Mentor Review Task Submitted by Mentee","Verify reviewing a task and gave invalid score","SUCCESS","2022-11-13T23:13:14.648+07:00[Asia/Bangkok]","0.0","0.06"
"Task Submission Page Title","Verify Page Title location on Tasks Submission Modal","SUCCESS","2022-11-13T15:11:58.811+07:00[Asia/Bangkok]","0.0","0.02"
"Task Submission Page Title","Verify Page Title has biggest font on Tasks Submission Modal","SUCCESS","2022-11-13T15:11:58.848+07:00[Asia/Bangkok]","0.0","0.02"
